"","nzreach","LENGTH","ORDER","CLIMATE","GEOLOGY","NET_POSN","DISTSEA","CATCHAREA"
"5912",12027352,891.83766,4,"CX","HS","MO",131230.2,29467356
"5913",12027710,282.42641,3,"CX","SS","MO",23140.57,24081300
"5914",12027812,204.85281,1,"CX","HS","LO",13891.83,242100
"5915",12027826,1054.26407,1,"CX","SS","LO",8358.671,638100
"5916",12027827,501.83766,3,"CX","SS","MO",26360.35,19062000
"5917",12027925,229.70563,3,"CX","SS","MO",776.9849,3662363.5
"5918",12027938,1293.38095,3,"CX","Al","MO",35276.08,23906700
"5919",12027943,1158.82251,3,"CX","Al","MO",73832.27,21929400
"5920",12027959,1730.95454,4,"CX","SS","MO",18944.99,37377000
"5921",12028086,879.41125,3,"CX","SS","MO",28621.01,11970900
"5922",12028165,2425.21861,2,"CX","Al","LO",21370.21,7763400
"5923",12028175,579.41125,3,"CX","SS","MO",2437.645,17874000
"5924",12028244,2949.77705,3,"CX","Al","MO",77269.32,10944900
"5925",12028255,1935.80736,3,"CX","SS","MO",11493.96,9196200
"5926",12028258,2218.23376,3,"CX","Pl","MO",78305.13,6479100
"5927",12028417,1496.10173,3,"CX","Al","MO",49939.21,9309600
"5928",12028440,1146.3961,4,"CX","SS","MO",22352.04,25289100
"5929",12028556,102.42641,1,"CX","Al","LO",102.4264,258257.81
"5930",12028587,452.13203,3,"CX","SS","MO",23438.44,12447000
"5931",12028798,1790.95454,2,"CX","SS","LO",26865.2,6084900
"5932",12028815,1373.9697,3,"CX","Al","MO",52406.86,8399700
"5933",12028854,3986.46753,2,"CX","SS","LO",29060.72,3189600
"5934",12028865,971.54329,2,"CX","Pl","LO",79632.77,3240900
"5935",12028873,549.41125,3,"CX","SS","MO",549.4113,6074449
"5936",12028924,354.85281,2,"CX","SS","LO",25898.81,2427300
"5937",12029007,362.13203,2,"CX","Al","LO",34498.73,2632500
"5938",12029043,1213.67532,3,"CX","SS","MO",26757.63,7651800
"5939",12029071,3504.3355,1,"CX","SS","LO",31118.66,1844100
"5940",12029125,90,2,"CX","SS","LO",90,1762859.62
"5941",12029152,1139.11688,2,"CX","Al","LO",57769.43,3737700
